model,experiment_id,outer_fold,best_epoch,image,valid_pixels,gt_foreground_pixels,foreground_fraction_weight,foreground_macro_f1,binary_foreground_f1,crack_f1,craquelure_f1
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C08__y00000_x00000,262144,2632,0.010040283203125,0.00015928639913909137,0.03447800129652023,0.0,0.00031857279827818274
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C09__y00000_x00000,262144,3810,0.01453399658203125,0.0,0.0022091311402618885,0.0,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C10__y00000_x00000,262144,4672,0.017822265625,0.6733046770095825,0.6720368266105652,0.6733046770095825,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R11_C11__y00000_x00000,259005,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C02__y00000_x00000,251120,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C03__y00000_x00000,261971,2668,0.0101843336597085,0.03959965333342552,0.08264462649822235,0.07919930666685104,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C04__y00000_x00000,262144,6128,0.02337646484375,0.0807478129863739,0.14417211711406708,0.1614956259727478,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C05__y00000_x00000,262144,2597,0.009906768798828125,0.0,0.0,,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C06__y00000_x00000,262144,1233,0.004703521728515625,0.07816091924905777,0.26451611518859863,0.07816091924905777,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C07__y00000_x00000,262144,2741,0.010456085205078125,0.0,0.0005448106676340103,0.0,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C08__y00000_x00000,262144,2236,0.0085296630859375,0.14809639751911163,0.14197634160518646,0.14809639751911163,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C09__y00000_x00000,262144,1051,0.004009246826171875,0.07128170132637024,0.05014464631676674,0.07128170132637024,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C10__y00000_x00000,262144,4330,0.01651763916015625,0.6277698874473572,0.6007782220840454,0.6277698874473572,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R12_C11__y00000_x00000,260533,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R13_C02__y00000_x00000,256294,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R13_C03__y00000_x00000,262144,2637,0.010059356689453125,0.0,0.042420029640197754,0.0,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R13_C04__y00000_x00000,262144,5501,0.020984649658203125,0.10839074105024338,0.21668624877929688,0.21678148210048676,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R13_C05__y00000_x00000,260269,4416,0.016967061907052994,0.020408162847161293,0.0696612074971199,0.040816325694322586,0.0
